size,N,iterations,global,computational_global,communication_global, init_global, t_io
2,60000,2,14.728503,0.844287,0.025509,0.657029,13.201679
1,1000,2000,0.203163,0.156819,0.000104,0.011019,0.035221
1,1000,2000,0.372762,0.316376,0.000114,0.035335,0.020936
1,1000,2000,0.342359,0.211615,0.000087,0.109628,0.021029


16,10000,100,1.001528,0.071087,0.123186,0.066664,0.739247
8,10000,100,1.145347,0.074539,0.061138,0.061120,0.947425
1,10000,100,1.123962,0.534749,0.000084,0.050672,0.538457
2,10000,100,1.282140,0.332151,0.090883,0.029249,0.829857
4,10000,100,1.071358,0.107601,0.041203,0.040269,0.882286
16,30000,10,3.194374,0.069799,0.087943,0.113330,2.923302
4,30000,10,2.225104,0.256966,0.071495,0.150565,1.746078
8,30000,10,3.258014,0.168725,0.074794,0.100027,2.888829
2,30000,10,5.110440,0.397658,0.006682,0.243656,4.462430
1,30000,10,5.738471,0.764854,0.000020,0.400896,4.572702
2,30000,10,2.964156,0.382193,0.021743,0.226576,2.333644
1,30000,10,5.255166,0.796476,0.000022,0.419751,4.038917
1,30000,10,6.395670,0.773252,0.000037,0.415439,5.206942
4,30000,10,2.242286,0.250201,0.107092,0.159951,1.717396
8,30000,10,3.886110,0.122441,0.181314,0.104719,3.469631
4,30000,10,6.749965,0.246498,0.296637,0.263513,5.943316
2,30000,10,8.145466,0.438177,0.125645,0.228371,7.351180
1,30000,10,9.022090,0.734834,0.002058,0.374205,7.910993
1,30000,10,7.160587,0.743975,0.001852,0.378476,6.036284
16,40000,10,7.282770,0.107460,0.231586,0.087967,6.825336
8,40000,10,7.763431,0.191430,0.103519,0.125905,7.326338
4,40000,10,11.159068,0.394337,0.159885,0.212897,10.391949
2,40000,10,16.204764,0.718061,0.206345,0.538883,14.741474
1,40000,10,19.727868,1.346498,0.002118,0.698426,17.680827
16,40000,10,14.197431,0.120890,0.267160,0.095613,13.681237
8,40000,10,16.882628,0.199017,0.153282,0.178464,16.265417
4,40000,10,20.165622,0.361137,0.128198,0.203271,19.473016
2,40000,10,24.339175,0.755540,0.149132,0.365184,23.069319
1,40000,10,29.213190,1.388913,0.001964,0.733335,27.088978

------------------------------------------------------------ isend recv
16,40000,10,10.355432,0.144994,0.124663,0.138752,9.849411
8,40000,10,13.456135,0.223258,0.067070,0.119607,13.046199
4,40000,10,16.353498,0.368847,0.051121,0.240164,15.691610
2,40000,10,20.074582,0.727552,0.056449,0.388607,18.901946
1,40000,10,24.617673,1.335881,0.000022,0.684776,22.596995
------------------------------------------------------------ isend irecv wait

16,40000,10,5.182760,0.150850,0.102189,0.112984,4.779467
8,40000,10,9.162265,0.205749,0.054275,0.129509,8.772732
4,40000,10,13.480408,0.370251,0.053490,0.204455,12.852212
2,40000,10,16.865022,0.701481,0.079257,0.404396,15.679869
1,40000,10,22.420380,1.348055,0.000027,0.674901,20.397396


16,40000,10,4.665102,0.117868,0.043889,0.077600,4.425662
8,40000,10,7.111245,0.206349,0.050376,0.125406,6.729114
4,40000,10,10.617469,0.359702,0.055786,0.209340,9.992641
2,40000,10,14.310933,0.696508,0.078071,0.399559,13.136768
1,40000,10,19.575578,1.368032,0.000037,0.722565,17.484944


16,40000,10,5.927551,0.129595,0.055902,0.081342,5.656077
8,40000,10,8.243618,0.208034,0.051355,0.125473,7.858756
4,40000,10,10.588705,0.352275,0.026670,0.203732,10.004683
2,40000,10,13.877403,0.692963,0.031217,0.399735,12.753457
1,40000,10,19.749091,1.361146,0.000035,0.712819,17.675090
16,40000,10,6.737273,0.113296,0.065193,0.092179,6.464174
8,40000,10,8.982796,0.196221,0.041908,0.122135,8.620049
4,40000,10,12.502129,0.383470,0.060912,0.208681,11.849066
2,40000,10,16.023401,0.715334,0.032227,0.372912,14.902917
1,40000,10,20.560476,1.369093,0.000031,0.719103,18.472249

----------
16,40000,10,8.032821,0.254827,0.171667,0.106508,7.499820
8,40000,10,9.356125,0.200843,0.097437,0.181624,8.876196
4,40000,10,12.216600,0.363148,0.071905,0.224976,11.556571
2,40000,10,14.979940,0.688442,0.022826,0.385648,13.883023
1,40000,10,20.475872,1.359514,0.000022,0.703549,18.412786
16,40000,10,6.438626,0.119927,0.104500,0.096833,6.114127
8,40000,10,8.655574,0.228770,0.179136,0.147756,8.099912
4,40000,10,12.809791,0.383731,0.245677,0.213949,11.966434
2,40000,10,16.507599,0.691986,0.002106,0.393054,15.414503
1,40000,10,20.825996,1.379060,0.000006,0.732980,18.713950
16,40000,10,4.364494,0.123741,0.075648,0.112534,4.052572
8,40000,10,6.629453,0.232279,0.063676,0.143076,6.185781
4,40000,10,9.805988,0.357365,0.019145,0.206500,9.222977
2,40000,10,12.479927,0.689809,0.031379,0.388383,11.370356
1,40000,10,17.632728,1.348504,0.000044,0.696157,15.588022
16,40000,10,4.246512,0.113314,0.078343,0.120444,3.931482
8,40000,10,6.891173,0.205700,0.052690,0.120964,6.505824
4,40000,10,9.553760,0.402053,0.082044,0.221157,8.848506
2,40000,10,12.840239,0.696317,0.041156,0.408257,11.694508
1,40000,10,17.874373,1.345446,0.000044,0.690881,15.838002
16,40000,10,4.534287,0.128259,0.080969,0.102923,4.172759
8,40000,10,7.000629,0.214809,0.240679,0.315173,6.229709
4,40000,10,9.742124,0.359720,0.066254,0.214328,9.101253
2,40000,10,13.224446,0.698160,0.029267,0.376343,12.120663
1,40000,10,17.367592,1.329920,0.000043,0.681051,15.356578
